ID,Name,ID,Name,IATACountryCode,ICAOCode,City,CityName,IATACode,IATACountryCode,ICAOCode,Latitude,Longitude,TimeZone
arp_egp_us,Maverick County Memorial International Airport,,,,,,Eagle Pass,EGP,US,,28.857147,-100.51273,America/Chicago
arp_gai_us,Montgomery County Airpark,,,,,,Gaithersburg,GAI,US,KGAI,39.16777,-77.16369,America/New_York
arp_zzu_mw,Mzuzu Airport,,,,,,Mzuzu,ZZU,MW,FWUU,-11.444077,34.011925,Africa/Blantyre
arp_ome_us,Nome Airport,,,,,,Nome,OME,US,PAOM,64.51107,-165.44426,America/Nome
arp_ptv_us,Porterville Municipal Airport,,,,,,Porterville,PTV,US,KPTV,36.029587,-119.06069,America/Los_Angeles
arp_cct_ar,Colonia Catriel Airport,,,,,,Catriel,CCT,AR,,-37.90878,-67.83176,America/Argentina/Salta
arp_cuf_it,Cuneo International Airport,,,,,,Cuneo,CUF,IT,LIMZ,44.547657,7.623536,Europe/Rome
arp_yon_bt,Yongphulla Airport,,,,,,Trashigang,YON,BT,VQTY,27.256111,91.514854,Asia/Thimphu
arp_kbc_us,Birch Creek Airport,,,,,,Birch Creek,KBC,US,,66.27441,-145.81995,America/Anchorage
arp_qug_gb,Chichester/Goodwood Airport,,,,,,Chichester,QUG,GB,EGHR,50.860172,-0.758832,Europe/London
arp_bbk_bw,Kasane Airport,,,,,,Kasane,BBK,BW,FBKE,-17.832132,25.16284,Africa/Gaborone
arp_naw_th,Narathiwat Airport,,,,,,Narathiwat,NAW,TH,VTSC,6.521773,101.7449,Asia/Bangkok
arp_tlq_cn,Turpan Jiaohe Airport,,,,,,Turpan,TLQ,CN,ZWTP,43.029675,89.10108,Asia/Shanghai
arp_mtp_us,Montauk Airport,,,,,,Montauk,MTP,US,KMTP,41.075676,-71.92145,America/New_York
arp_etd_au,Etadunna Airport,,,,,,Etadunna,ETD,AU,YEDA,-28.742693,138.58937,Australia/Adelaide
arp_sme_us,Lake Cumberland Regional Airport,,,,,,Somerset,SME,US,KSME,37.054283,-84.61437,America/New_York
arp_lky_tz,Lake Manyara Airport,,,,,,Lake Manyara,LKY,TZ,HTLM,-3.375538,35.817635,Africa/Dar_es_Salaam
arp_mno_cd,Manono Airport,,,,,,Manono,MNO,CD,FZRA,-7.288811,27.394077,Africa/Lubumbashi
arp_low_us,Louisa County Airport,,,,,,Louisa,LOW,US,KLKU,38.0099,-77.97102,America/New_York
arp_psf_us,Pittsfield Municipal Airport,,,,,,Pittsfield,PSF,US,KPSF,42.426365,-73.292244,America/New_York
arp_uip_fr,Quimper–Bretagne Airport,,,,,,Quimper,UIP,FR,LFRQ,47.975037,-4.170975,Europe/Paris
arp_vhz_pf,Vahitahi Airport,,,,,,Vahitahi,VHZ,PF,NTUV,-18.78,-138.853,Pacific/Tahiti
arp_hwk_au,Wilpena Pound Airport,,,,,,Hawker,HWK,AU,YHAW,-31.8514,138.46939,Australia/Adelaide
arp_ign_ph,Maria Cristina Airport,,,,,,Iligan,IGN,PH,RPMI,8.130809,124.21471,Asia/Manila
arp_uun_mn,Baruun-Urt Airport,,,,,,Baruun-Urt,UUN,MN,ZMBU,46.660053,113.284904,Asia/Choibalsan
arp_kcl_us,Chignik Lagoon Airport,cit_kcl_us,Chignik,US,,,Chignik,KCL,US,PAJC,56.311176,-158.53595,America/Anchorage
arp_gke_de,Geilenkirchen Airport,,,,,,Geilenkirchen,GKE,DE,ETNG,50.96072,6.042447,Europe/Berlin
arp_jna_br,Januária Airport,,,,,,Januária,JNA,BR,SNJN,-15.474359,-44.38608,America/Sao_Paulo
arp_ksj_gr,Kasos Island Public Airport,,,,,,Kasos Island,KSJ,GR,LGKS,35.42093,26.912174,Europe/Athens
arp_kxf_fj,Koro Island Airport,,,,,,Koro Island,KXF,FJ,NFNO,-17.3458,179.422,Pacific/Fiji
arp_aux_br,Araguaína Airport,,,,,,Araguaína,AUX,BR,SWGN,-7.22929,-48.241135,America/Araguaina
arp_ngd_vg,Auguste George Airport,,,,,,Anegada,NGD,VG,TUPA,18.727303,-64.32983,America/Tortola
arp_inh_mz,Inhambane Airport,,,,,,Inhambane,INH,MZ,FQIN,-23.87648,35.40758,Africa/Maputo
arp_ptu_us,Platinum Airport,,,,,,Platinum,PTU,US,PAPM,59.01263,-161.82117,America/Anchorage
arp_ucb_cn,Ulanqab Jining Airport,,,,,,Ulanqab,UCB,CN,ZBWL,41.129723,113.108055,Asia/Shanghai
arp_cru_gd,Lauriston Airport,,,,,,Carriacou,CRU,GD,TGPZ,12.476712,-61.472023,America/Grenada
arp_tap_mx,Tapachula International Airport,,,,,,Tapachula,TAP,MX,MMTP,14.79238,-92.36937,America/Mexico_City
arp_umc_pg,Umba Airport,,,,,,Umba,UMC,PG,,-7.02127,145.96576,Pacific/Port_Moresby
arp_wwr_us,West Woodward Airport,,,,,,Woodward,WWR,US,KWWR,36.437374,-99.521866,America/Chicago
arp_dhf_ae,Al Dhafra Air Base,cit_auh_ae,Abu Dhabi,AE,,,Abu Dhabi,DHF,AE,OMAM,24.249302,54.548252,Asia/Dubai
arp_bpd_pg,Bapi Airport,,,,,,Bapi,BPD,PG,AYBP,-7.733266,147.01743,Pacific/Port_Moresby
arp_kgc_au,Kingscote Airport,,,,,,Kingscote,KGC,AU,YKSC,-35.712944,137.52222,Australia/Adelaide
arp_wmo_us,White Mountain Airport,,,,,,White Mountain,WMO,US,PAWM,64.688385,-163.41188,America/Nome
arp_kkl_us,Karluk Lake Seaplane Base,,,,,,Karluk Lake,KKL,US,,57.36702,-154.0278,America/Anchorage
arp_mxd_au,Marion Downs Airport,,,,,,Marion Downs,MXD,AU,YMWX,-23.366005,139.65027,Australia/Brisbane
arp_wda_ye,Wadi Ain Airport,,,,,,Wadi Ain,WDA,YE,,14.865279,45.551136,Asia/Aden
arp_tjh_jp,Tajima Airport,,,,,,Toyooka,TJH,JP,RJBT,35.514423,134.78755,Asia/Tokyo
arp_gza_ps,Yasser Arafat International Airport,,,,,,Gaza,GZA,PS,LVGZ,31.2464,34.2761,Asia/Gaza
arp_asp_au,Alice Springs Airport,,,,,,Alice Springs,ASP,AU,YBAS,-23.805021,133.90234,Australia/Darwin
arp_auj_pg,Ambunti Airport,,,,,,Ambunti,AUJ,PG,AYAT,-4.21618,142.82289,Pacific/Port_Moresby
arp_iny_za,Inyati Airport,,,,,,Inyati,INY,ZA,,-24.774704,31.386219,Africa/Johannesburg
arp_itb_br,Itaituba Airport,,,,,,Itaituba,ITB,BR,SBIH,-4.244041,-56.003773,America/Belem
arp_ksi_gn,Kissidougou Airport,,,,,,Kissidougou,KSI,GN,GUKU,9.160513,-10.124538,Africa/Conakry
arp_mbp_pe,Moyobamba Airport,,,,,,Moyobamba,MBP,PE,SPBB,-6.020833,-76.9875,America/Lima
arp_coj_au,Coonabarabran Airport,,,,,,Coonabarabran,COJ,AU,YCBB,-31.332392,149.26889,Australia/Sydney
arp_gzt_tr,Gaziantep Oğuzeli International Airport,,,,,,Gaziantep,GZT,TR,LTAJ,36.947174,37.477146,Europe/Istanbul
arp_lsk_us,Lusk Municipal Airport,,,,,,Lusk,LSK,US,KLSK,42.753494,-104.40605,America/Denver
arp_tsk_pg,Taskul Airport,,,,,,Taskul,TSK,PG,,-2.546,150.4553,Pacific/Port_Moresby
arp_krw_tm,Turkmenbashi Airport,,,,,,Turkmenistan,KRW,TM,UTAK,40.049744,53.00031,Asia/Ashgabat
arp_xbe_ca,Bearskin Lake Airport,,,,,,Bearskin Lake,XBE,CA,CNE3,53.963734,-91.02917,America/Winnipeg
arp_tet_mz,Chingozi Airport,,,,,,Tete,TET,MZ,FQTT,-16.106775,33.639748,Africa/Maputo
arp_eli_us,Elim Airport,,,,,,Elim,ELI,US,PFEL,64.614555,-162.27187,America/Nome
arp_osk_se,Oskarshamn Airport,,,,,,Oskarshamn,OSK,SE,ESMO,57.350662,16.498058,Europe/Stockholm
arp_szp_us,Santa Paula Airport,,,,,,Santa Paula,SZP,US,KSZP,34.347286,-119.06121,America/Los_Angeles
